arima,holt,prophet,tbats,ensemble
318.54625912352793,316.86170873554977,291.8662793334626,307.5265240280398,308.70019280514504
363.9506645750977,357.08048245519507,382.3179743142726,358.37686902855353,365.4314975932797
346.67694314175486,341.48299468147366,316.46918562014963,336.1081348611017,335.18431457611996
353.89286292815035,348.2482537373184,373.56437296643213,351.7383993588317,356.86097224768315
404.86063780347433,393.05394497549537,367.9396073652804,384.42131260066,387.5688756862275
286.8471961790527,289.6634057686678,315.2048950098314,293.6062855961977,296.33044563843737
292.1515750706992,294.51125287673716,269.69195450882296,286.71598293142506,285.7676913469211
325.51701763776396,344.2765683038144,369.6005822169632,348.84383538426306,347.05950088570114
298.8419245077432,299.9184827483198,275.0569562082401,290.68901915232425,291.12659565415686
332.9225157376755,330.10677150349295,355.4068817676419,335.45622943308484,338.4730996104738
678.2991184195793,621.512012808062,595.5858805929532,612.1339974305093,626.8827523127759
299.2190973419075,303.2637278627194,325.9118850066816,305.51807630831337,308.4781966299055
326.4663407865761,327.62101613139043,302.65973463870415,316.5799525787382,318.3317610338522
372.42021708840275,367.8397898510357,393.1114296196411,373.60962384352183,376.74526510065033
354.7784571169852,352.2423020773143,327.26264092575485,340.6542919402055,343.7344230150649
361.13689481216284,359.0075611331591,384.35782827208925,365.2405612344953,367.43571136297663
412.4830576660023,403.81325237133603,378.7330626708133,391.61784593641664,396.66180466114207
293.7879945083919,300.4227131645085,325.99835031530654,307.2456752344395,306.8636833056616
299.17550585329553,305.27056027257777,280.4854098144605,292.48404591346986,294.35388046345093
382.26492275561634,355.03587569965504,380.3940375226055,362.3366294121726,370.0078663475124
305.66669472979623,310.67779014416044,285.8504115134999,297.3544448885898,299.8873353190116
339.59410973172487,340.8660788993336,366.20033707261405,348.67843642085995,348.83474053113315
637.4773642321876,632.2713202039026,606.3793358985934,618.5022232268919,623.6575608903938
