arima,holt,prophet,tbats,ensemble
139.76593574007774,137.00000712692335,135.58367800808614,137.4655556961434,137.45379414280765
140.11902412266872,145.50000986605107,142.11048862222944,146.01701775241617,143.43663509084138
147.0192428656883,160.00001213922906,159.9823916257298,169.57165349659496,159.14332503181052
139.16477576080953,155.50001199956046,153.50621180164268,162.1836787178161,152.5886695699572
129.33213339273033,146.50001441455112,147.8761059433711,156.70369404992425,145.1029869501442
147.39128701325848,165.5000057717171,164.8982475204587,178.28555055865587,164.01877271602254
163.49591173297807,182.50000887073665,185.2664601661446,206.35163374350049,184.40350362833993
163.09235196129003,182.50000097326293,183.28520523929723,203.3083989764838,183.0464892875835
153.26382509753233,170.50000527848815,174.64818941518712,194.09851485223706,173.12763366086116
133.14779726603913,149.5000084205417,151.0179244187172,163.8274208231136,149.3732877321029
