arima,holt,prophet,tbats,ensemble
129.13440593899614,134.9190222020374,138.16953553028617,129.65307965973554,132.96901083276381
140.77219409213902,144.25235355916203,144.19600362295276,140.4655634464502,142.421528680176
157.13077272286213,159.2523509052497,162.6905998626108,156.0406455325648,158.77859225582185
151.33237357383067,154.2523707147864,154.38374265992553,151.02504927591917,152.74838405611544
140.4457180389743,144.58570991761013,148.21170052693583,139.17543576878285,143.10464106307577
166.5094428085721,165.91903332431173,166.2381371145983,163.10595241394697,165.44314141535727
188.54527028594515,184.58570816043317,188.39896058828955,182.15740593630818,185.921836242744
188.56541328752866,184.58569284785494,185.0910556693207,182.75503408277285,185.24929897186928
175.5767381293133,172.25235266082757,176.25165556662319,167.77009880682655,172.96271129089766
149.58310520628123,149.5856576454172,150.18511470623196,143.6186999177556,148.2431443689215
